MdAPE,L-Co-R,ETS,Croston,Theta,RW,ARIMA,
Airline,15.057,233.934,54.657,119.754,118.090,15.212,
WmFrancfort,14.610,14.603,39.259,19.960,22.750,11.026,
WmLondon,3.498,5.430,30.550,10.474,15.722,5.099,
WmMadrid,22.718,28.116,45.817,26.787,28.116,11.446,
WmMilan,30.476,34.685,50.040,33.872,34.643,34.643,
WmNewYork,9.114,4.598,35.253,16.505,23.137,5.712,
WmTokyo,5.517,9.864,18.782,9.075,9.556,9.556,
Deceases,4.267,5.464,6.121,4.440,5.458,5.458,
SpaMovSpec,17.669,107.283,51.653,53.104,51.568,54.033,
Exchange,44.368,46.597,34.121,38.832,36.521,45.961,
Gasoline,1.792,7.587,9.045,6.429,7.563,8.923,
MortCanc,11.25,9.694,30.568,4.047,5.339,5.116,
MortMade,3.459,12.111,45.704,41.989,15.629,28.374,
Books,4.868,18.111,17.230,16.566,11.567,18.093,
FreeHouPrize,1.803,5.222,29.683,5.201,9.748,6.572,
Presos,6.766,1.512,12.651,5.287,7.817,1.621,
TurIn,2.945,6.627,11.696,4.779,6.669,4.605,
TurOut,5.289,11.331,11.518,10.873,11.392,7.689,
TUrban,5.290,8.262,6.822,4.922,8.900,6.374,
HouseFin,18.286,22.623,21.279,18.845,23.684,17.297,
