	"Number"
"2003M01"	"118040.0"
"2003M02"	"119166.0"
"2003M03"	"116565.0"
"2003M04"	"104744.0"
"2003M05"	"116615.0"
"2003M06"	"113086.0"
"2003M07"	"113881.0"
"2003M08"	"92580.0"
"2003M09"	"118209.0"
"2003M10"	"129177.0"
"2003M11"	"110775.0"
"2003M12"	"104404.0"
"2004M01"	"135048.0"
"2004M02"	"136554.0"
"2004M03"	"144743.0"
"2004M04"	"125030.0"
"2004M05"	"144539.0"
"2004M06"	"144604.0"
"2004M07"	"134913.0"
"2004M08"	"118370.0"
"2004M09"	"141770.0"
"2004M10"	"128998.0"
"2004M11"	"133264.0"
"2004M12"	"120664.0"
"2005M01"	"151018.0"
"2005M02"	"146627.0"
"2005M03"	"140240.0"
"2005M04"	"154457.0"
"2005M05"	"152622.0"
"2005M06"	"162570.0"
"2005M07"	"140366.0"
"2005M08"	"132577.0"
"2005M09"	"184936.0"
"2005M10"	"145734.0"
"2005M11"	"151218.0"
"2005M12"	"136265.0"
"2006M01"	"173677.0"
"2006M02"	"163741.0"
"2006M03"	"182682.0"
"2006M04"	"137455.0"
"2006M05"	"177649.0"
"2006M06"	"172168.0"
"2006M07"	"152550.0"
"2006M08"	"138205.0"
"2006M09"	"161212.0"
"2006M10"	"157014.0"
"2006M11"	"157466.0"
"2006M12"	"122696.0"
"2007M01"	"179612.0"
"2007M02"	"154087.0"
"2007M03"	"168948.0"
"2007M04"	"139850.0"
"2007M05"	"169905.0"
"2007M06"	"155584.0"
"2007M07"	"149281.0"
"2007M08"	"129961.0"
"2007M09"	"145326.0"
"2007M10"	"145007.0"
"2007M11"	"139891.0"
"2007M12"	"103175.0"
"2008M01"	"138301.0"
"2008M02"	"124191.0"
"2008M03"	"104690.0"
"2008M04"	"124634.0"
"2008M05"	"114028.0"
"2008M06"	"105301.0"
"2008M07"	"114610.0"
"2008M08"	"87840.0"
"2008M09"	"103312.0"
"2008M10"	"102715.0"
"2008M11"	"80535.0"
"2008M12"	"83217.0"
"2009M01"	"85542.0"
"2009M02"	"86946.0"
"2009M03"	"88735.0"
"2009M04"	"82974.0"
"2009M05"	"96102.0"
"2009M06"	"100074.0"
"2009M07"	"100149.0"
"2009M08"	"83912.0"
"2009M09"	"104748.0"
"2009M10"	"89873.0"
"2009M11"	"82913.0"
"2009M12"	"80619.0"
"2010M01"	"90045.0"
"2010M02"	"88523.0"
"2010M03"	"87137.0"
"2010M04"	"80182.0"
"2010M05"	"87882.0"
"2010M06"	"89140.0"
"2010M07"	"84218.0"
"2010M08"	"77256.0"
"2010M09"	"83330.0"
"2010M10"	"62109.0"
"2010M11"	"67086.0"
"2010M12"	"64040.0"
"2011M01"	"75409.0"
"2011M02"	"76398.0"
"2011M03"	"68917.0"
"2011M04"	"49618.0"
"2011M05"	"60341.0"
"2011M06"	"52225.0"
"2011M07"	"46748.0"
"2011M08"	"47620.0"
"2011M09"	"51033.0"
"2011M10"	"39178.0"
"2011M11"	"45581.0"
"2011M12"	"38691.0"
"2012M01"	"46821.0"
"2012M02"	"43616.0"
"2012M03"	"42367.0"
"2012M04"	"35761.0"
"2012M05"	"43694.0"
"2012M06"	"40745.0"
"2012M07"	"42089.0"
"2012M08"	"35111.0"
"2012M09"	"35894.0"
"2012M10"	"31405.0"
"2012M11"	"31697.0"
"2012M12"	"28573.0"
"2013M01"	"41365.0"
"2013M02"	"37656.0"
"2013M03"	"27525.0"
"2013M04"	"29510.0"
"2013M05"	"30559.0"
"2013M06"	"23613.0"
