IT,EVALUATIONS,BEST_F,AVERAGE_F,BEST_DEPTH,AVERAGE_DEPTH,BEST_SIZE,AVERAGE_SIZE,BEST_AGE,AVERAGE_AGE 
0,0,1.5285560930872881,0.9094611827159446,3,3.0625,7,7.0,1,1.0
1,0,1.537417446558715,0.9999824569293804,3,3.09375,7,6.75,2,1.6875
2,0,1.506608378578377,1.0315387526378137,3,3.0625,7,6.4375,3,2.21875
3,0,1.51741685003472,1.0850273529586558,3,3.0625,7,6.4375,4,2.78125
4,0,1.517394383046541,1.1366316686869018,3,3.15625,7,6.5,1,2.96875
5,0,1.532437216066046,1.1626509760272783,3,3.15625,7,6.625,2,3.0625
6,0,1.566718536542751,1.2173769844471745,3,3.34375,7,7.25,3,3.28125
7,0,1.5318273069644222,1.2495288679661847,3,3.40625,7,7.5625,8,3.5625
8,0,2.257813395905364,1.3242536427697378,4,3.5,9,7.75,1,4.0
9,0,2.281999165335407,1.3615617805833953,4,3.625,9,8.0,2,3.96875
10,0,2.2430437570658333,1.4315901235360151,4,3.4375,9,7.5,1,4.4375
11,0,2.341242131832197,1.4732826258478569,4,3.53125,9,7.75,2,4.40625
12,0,2.2842742633977573,1.4800762273311867,4,3.4375,9,7.5625,3,4.875
13,0,2.303263153281624,1.4989190387827904,4,3.59375,9,8.0625,4,4.96875
14,0,2.382320915277517,1.53958290383456,4,3.6875,9,8.25,5,4.46875
15,0,2.3239264987818666,1.5568095084614564,4,3.65625,9,8.25,1,4.0
16,0,2.407683281437926,1.5369944350970661,4,3.8125,9,8.75,9,3.65625
17,0,2.2847893086185413,1.5623217874909008,4,3.78125,9,8.75,10,4.25
18,0,2.293714266654852,1.6097181110834153,4,3.75,9,8.5625,11,4.09375
19,0,2.310694682083508,1.7187421351304295,3,3.71875,7,8.8125,2,4.21875
20,0,2.3105891079575,1.712923777059575,4,3.90625,9,9.3125,13,4.125
21,0,2.468306747024827,1.8555063879311275,5,3.9375,11,9.1875,1,3.9375
22,0,2.4093462385874957,2.0101259211581826,5,4.0625,11,9.625,2,3.5625
23,0,2.50272783281644,2.1100802354264054,6,4.21875,13,10.125,1,3.625
24,0,2.4916604032049072,2.3066237169542627,5,4.28125,11,10.125,1,3.6875
25,0,2.519860046885759,2.313167177481203,5,4.28125,11,10.1875,2,4.5
26,0,2.518211522111643,2.337818187527418,5,4.34375,13,10.5,1,4.375
27,0,2.5215353952190758,2.3613111435941745,5,4.375,13,10.5625,2,4.3125
28,0,2.5769029049453387,2.3928227717477766,7,4.625,23,11.5,1,3.375
29,0,3.087849343895088,2.4308456211340728,4,4.6875,9,11.75,4,3.625
30,0,2.5359940858408128,2.424036718829662,5,4.78125,15,12.125,4,3.84375
31,0,2.567641658923716,2.454301531624025,5,5.03125,13,13.1875,1,4.0625
32,0,2.5365702184049024,2.4650851149112674,5,5.125,15,13.5625,3,4.125
33,0,2.577371805666842,2.4864137372072097,6,5.25,17,13.9375,2,4.71875
34,0,2.567385172003904,2.499307298798537,5,5.375,13,14.5,4,4.75
35,0,2.570982810054076,2.5110001667816713,5,5.4375,13,14.6875,8,4.78125
36,0,2.615426378838861,2.5240561380207525,5,5.59375,11,15.375,13,4.5
37,0,2.572003491543826,2.5265796259052986,7,5.46875,19,15.125,3,4.90625
38,0,2.601528703731518,2.527175221563917,7,5.5,21,15.4375,3,5.03125
39,0,2.581933940163298,2.533417205141883,5,5.46875,13,15.125,2,4.34375
40,0,2.596030935547292,2.5391092248718903,6,5.5,17,15.375,1,4.5625
41,0,2.59235577557429,2.545088257129036,4,5.5625,11,15.4375,2,4.71875
42,0,2.612507400220088,2.53544976705833,5,5.59375,13,15.3125,1,5.09375
43,0,2.595876720081135,2.5459681274820496,7,5.59375,19,15.1875,2,4.875
44,0,2.585392417291387,2.541856654023414,6,5.78125,17,16.0,2,4.53125
45,0,2.6422310825085,2.548510265162109,6,5.96875,17,16.4375,6,4.5
46,0,2.660647251793348,2.543977602124454,7,6.0,19,16.25,2,4.5625
47,0,3.1891254153581623,2.5618881684269317,4,6.15625,11,16.4375,8,4.15625
48,0,2.665428960830036,2.5599651805938035,7,6.03125,19,16.0625,4,4.78125
49,0,2.621516467208055,2.5598997589334336,6,6.03125,17,15.875,10,4.71875
