0,285;	0,361;	0,629;	0,571;	0,552;
0,369;	0,610;	0,630;	0,634;	0,812;
0,446;	0,610;	0,750;	0,740;	0,812;
0,497;	0,638;	0,750;	0,740;	1,013;
0,646;	0,668;	0,750;	0,740;	1,013;
0,646;	0,677;	0,750;	0,740;	1,013;
0,663;	0,747;	0,750;	0,740;	1,013;
0,663;	0,747;	0,750;	0,740;	1,013;
0,663;	0,747;	0,750;	0,751;	1,013;
0,707;	0,747;	0,750;	0,763;	1,013;
0,707;	0,747;	0,750;	0,764;	1,013;
0,707;	0,765;	0,750;	0,847;	1,013;
0,707;	0,765;	0,750;	0,847;	1,013;
0,707;	0,765;	0,750;	0,847;	1,017;
0,707;	0,765;	0,750;	0,847;	1,017;
0,707;	0,766;	0,750;	0,861;	1,017;
0,730;	0,766;	0,750;	0,861;	1,017;
0,730;	0,766;	0,750;	0,968;	1,036;
0,730;	0,774;	0,750;	0,968;	1,051;
0,754;	0,774;	0,750;	0,968;	1,051;
0,754;	0,774;	0,750;	1,079;	1,051;
0,754;	0,774;	0,750;	1,079;	1,051;
0,754;	0,774;	0,750;	1,079;	1,051;
0,754;	0,775;	0,750;	1,079;	1,051;
0,754;	0,775;	0,750;	1,079;	1,051;
0,754;	0,775;	0,750;	1,079;	1,051;
0,754;	0,775;	0,750;	1,106;	1,051;
0,760;	0,775;	0,750;	1,106;	1,051;
0,760;	0,775;	0,819;	1,106;	1,051;
0,760;	0,775;	0,819;	1,106;	1,051;
0,760;	0,775;	0,819;	1,106;	1,051;
0,760;	0,775;	0,819;	1,106;	1,051;
0,760;	0,783;	0,819;	1,106;	1,051;
0,760;	0,783;	0,819;	1,106;	1,051;
0,760;	0,783;	0,819;	1,106;	1,051;
0,765;	0,783;	0,819;	1,106;	1,051;
0,765;	0,783;	0,819;	1,106;	1,051;
0,765;	0,786;	0,819;	1,106;	1,051;
0,765;	0,786;	0,819;	1,106;	1,051;
0,765;	0,786;	0,819;	1,106;	1,051;
0,765;	0,786;	0,819;	1,106;	1,051;
0,765;	0,786;	0,819;	1,106;	1,051;
0,765;	0,786;	0,819;	1,106;	1,052;
0,765;	0,786;	0,819;	1,106;	1,052;
0,765;	0,786;	0,819;	1,106;	1,052;
0,765;	0,786;	0,819;	1,106;	1,052;
0,765;	0,786;	0,819;	1,106;	1,052;
0,765;	0,786;	0,819;	1,106;	1,052;
0,765;	0,786;	0,819;	1,106;	1,052;
0,765;	0,786;	0,819;	1,106;	1,052;
0,765;	0,786;	0,819;	1,106;	1,052;
