feature,description
Dimensions,113x163x30mm
LEDs,Power; 3G activity; Ethernet activity
Networking,Ethernet; Wireless; Bluetooth; 3G
USB ports,City Analytics Antenna; 3G dongle
Other ports,RS-232; VGA
Power,18v - 1200mA; external jack - 5.5mm; internal jack - 2.1mm
Network connections,Ethernet RJ45; 3G USB Modem
Antennas,City Analytics USB antenna; wireless antenna
Microphone,noise sensor
Temperature,main board temperature sensor with extrapolation
Box,1.5mm aluminum box; external use possible
Operating System,Debian 6.0 Squeeze
